-0.2031	0.1295	-0.0090	0.2319	-0.7598
-0.0699	-0.5380	-0.2015	-0.5535	0.2352
0.3076	0.5864	-0.4813	-0.1228	-0.5273
0.1269	-0.0253	-0.2405	0.2178	0.6984
-0.2773	-0.0857	0.4810	0.5311	-0.1639
0.2100	-0.1194	-0.0950	-0.0964	-0.0399
-0.2273	-0.5636	-0.2099	0.5725	-0.3748
-0.1136	0.6600	-0.1858	0.1867	0.2357
-0.2437	0.1820	-0.2390	-0.2647	0.4252
0.3898	-0.0268	0.0179	0.4767	0.2726
0.0401	-0.1503	0.2359	-0.2022	0.3693
0.5491	0.1046	0.0407	-0.0432	0.2448
0.0692	-0.6946	-0.4442	-0.5749	-0.0698
0.2023	-0.2570	-0.5010	0.0774	-0.4833
